timestamp,symbol,open,high,low,close,volume
1704067200000000000,000001,10.029,10.1028,9.9124,10.0329,1211432
1704153600000000000,000001,10.0389,10.1602,9.9306,10.0224,1357452
1704240000000000000,000001,10.2855,10.373,10.2482,10.2887,1459802
1704326400000000000,000001,10.4307,10.5116,10.4029,10.4624,1335503
1704412800000000000,000001,11.0547,11.1163,10.8536,10.981,1204812
1704499200000000000,000001,10.7998,10.9337,10.7776,10.8131,1451492
1704585600000000000,000001,11.1774,11.2831,11.0423,11.1676,1389598
1704672000000000000,000001,11.4432,11.5394,11.2497,11.3881,1123341
1704758400000000000,000001,11.2291,11.3663,11.2149,11.3221,1468485
1704844800000000000,000001,11.4946,11.5994,11.4567,11.5601,1068271
1704931200000000000,000001,11.5,11.6209,11.4348,11.5816,1271749
1705017600000000000,000001,11.8154,11.8428,11.7478,11.7817,1174224
1705104000000000000,000001,11.9505,12.0285,11.8075,11.9449,1048947
1705190400000000000,000001,11.728,11.8617,11.5877,11.7842,1233020
1705276800000000000,000001,11.8021,11.8044,11.7541,11.7965,1172150
1705363200000000000,000001,12.1241,12.2343,12.018,12.1755,1145978
1705449600000000000,000001,11.8414,11.9898,11.7597,11.8588,1002852
1705536000000000000,000001,11.8925,12.0275,11.8021,11.8169,1082826
1705622400000000000,000001,12.0489,12.1659,11.8191,11.954,1003495
1705708800000000000,000001,11.7004,11.72,11.5428,11.6864,1280793
1705795200000000000,000001,11.8715,11.9991,11.7761,11.9193,1243877
1705881600000000000,000001,11.4948,11.7216,11.3838,11.582,1400268
1705968000000000000,000001,11.4373,11.5425,11.436,11.4373,1451730
1706054400000000000,000001,11.4478,11.6356,11.342,11.5326,1293831
1706140800000000000,000001,11.3132,11.4722,11.2362,11.3425,1122980
1706227200000000000,000001,10.8205,11.0685,10.7324,10.9194,1384345
1706313600000000000,000001,10.9269,10.9954,10.9138,10.9191,1378086
1706400000000000000,000001,10.7467,10.9512,10.6506,10.8111,1272579
1706486400000000000,000001,10.3723,10.3911,10.3037,10.3458,1163937
1706572800000000000,000001,10.2079,10.2732,10.1316,10.2387,1393098
1706659200000000000,000001,9.8815,9.9618,9.8615,9.9297,1493586
1706745600000000000,000001,9.6646,9.6838,9.6242,9.6247,1196322
1706832000000000000,000001,9.6386,9.7477,9.5619,9.6542,1126025
1706918400000000000,000001,9.3002,9.428,9.2083,9.2914,1142274
1707004800000000000,000001,9.3161,9.4864,9.2828,9.3865,1352877
1707091200000000000,000001,8.7937,8.8926,8.7137,8.8476,1435101
1707177600000000000,000001,9.004,9.0835,8.8921,9.0122,1315725
1707264000000000000,000001,8.9488,9.0395,8.7094,8.8534,1094428
1707350400000000000,000001,8.3476,8.3502,8.1738,8.3234,1464276
1707436800000000000,000001,8.3372,8.5295,8.2078,8.4221,1337549
1707523200000000000,000001,8.1951,8.3209,8.1182,8.2425,1319334
1707609600000000000,000001,8.3394,8.4291,8.1641,8.3081,1022826
1707696000000000000,000001,8.3462,8.3817,8.2069,8.2646,1062901
1707782400000000000,000001,7.9697,8.0266,7.7317,7.8765,1266955
1707868800000000000,000001,8.1683,8.2709,8.1563,8.1936,1078336
1707955200000000000,000001,8.0154,8.0473,7.8092,7.9234,1484527
1708041600000000000,000001,7.9863,8.1483,7.9251,8.082,1343768
1708128000000000000,000001,8.0908,8.1629,7.9811,8.1581,1194959
1708214400000000000,000001,7.9154,7.9412,7.8139,7.9185,1479433
1708300800000000000,000001,7.9696,8.0599,7.8941,8.0117,1187024
1708387200000000000,000001,8.2935,8.4904,8.154,8.3786,1201720
1708473600000000000,000001,8.3984,8.5649,8.3552,8.4694,1212230
1708560000000000000,000001,8.5261,8.6332,8.4686,8.6226,1381096
1708646400000000000,000001,8.4772,8.6436,8.3915,8.5655,1482811
1708732800000000000,000001,8.6843,8.7464,8.5986,8.6372,1275060
1708819200000000000,000001,9.1981,9.3183,9.1781,9.1986,1065516
1708905600000000000,000001,9.0529,9.1807,8.989,9.1223,1248509
1708992000000000000,000001,9.6376,9.7288,9.541,9.5547,1476253
1709078400000000000,000001,9.6913,9.875,9.6838,9.7727,1339789
1709164800000000000,000001,9.77,9.8459,9.665,9.8313,1080434
1709251200000000000,000001,10.2213,10.3526,10.1373,10.1499,1318799
1709337600000000000,000001,10.2947,10.2977,10.1311,10.274,1477141
